Year,County Name,Region,Age Group,Deaths
2003,Broome,ROS,55-64,179
2003,Broome,ROS,65-74,313
2003,Broome,ROS,75-84,646
2003,Broome,ROS,85+,697
2003,Broome,ROS,Total,2061
2003,Cattaraugus,ROS,1-9,4
2003,Cattaraugus,ROS,20-24,4
2003,Cattaraugus,ROS,<1,4
2003,Cattaraugus,ROS,10-19,8
2003,Cattaraugus,ROS,25-34,10
2003,Cattaraugus,ROS,35-44,22
2003,Cattaraugus,ROS,45-54,48
2003,Cattaraugus,ROS,55-64,96
2003,Cattaraugus,ROS,65-74,151
2003,Cattaraugus,ROS,85+,234
2003,Cattaraugus,ROS,75-84,258
2003,Cattaraugus,ROS,Total,839
2003,Cayuga,ROS,1-9,2
2003,Cayuga,ROS,25-34,3
2003,Cayuga,ROS,20-24,4
2003,Cayuga,ROS,<1,4
